epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,31.0951,0.61125,0.85484,1,0.38516,0.09109,9e-05,9e-05
2,53.8343,0.24468,0.95161,1,0.07822,0.0811862,0.000186238,0.000186238
3,72.9601,0.22423,0.96774,1,0.07963,0.0712785,0.000278516,0.000278516
4,92.681,0.20644,0.96774,1,0.06997,0.0613668,0.000366834,0.000366834
5,112.806,0.19999,0.98387,1,0.02655,0.0514512,0.000451192,0.000451192
6,137.481,0.1227,0.98387,1,0.03807,0.0415316,0.00053159,0.00053159
7,156.793,0.1235,0.96774,1,0.12715,0.031608,0.000608028,0.000608028
8,175.593,0.11987,0.96774,1,0.06036,0.0216805,0.000680506,0.000680506
9,194.215,0.10819,0.98387,1,0.05864,0.011749,0.000749024,0.000749024
10,212.447,0.1461,0.98387,1,0.06884,0.00181358,0.000813582,0.000813582
11,233.238,0.17826,0.69355,1,0.5894,0.000802,0.000802,0.000802
12,250.89,0.11489,0.98387,1,0.01911,0.0007822,0.0007822,0.0007822
13,269.814,0.1052,0.96774,1,0.0319,0.0007624,0.0007624,0.0007624
14,286.352,0.12379,0.98387,1,0.17673,0.0007426,0.0007426,0.0007426
15,302.939,0.22337,0.98387,1,0.13844,0.0007228,0.0007228,0.0007228
